alpha3,sex,year,life_expectancy
COL,everyone,2003,72.3
COL,everyone,2004,72.7
COL,everyone,2005,73.1
COL,everyone,2006,73.3
COL,everyone,2007,73.6
COL,everyone,2008,73.9
COL,everyone,2009,74.1
COL,everyone,2010,74.3
COL,everyone,2011,74.6
COL,everyone,2012,74.8
COL,everyone,2013,75.1
COL,everyone,2014,75.3
COL,everyone,2015,75.5
COL,everyone,2016,75.8
COL,everyone,2017,76
COL,everyone,2018,76.5
COL,everyone,2019,76.7
COL,everyone,2020,76.8
COL,women,1960,58.3
COL,women,1961,58.7
COL,women,1962,59.2
COL,women,1963,59.6
COL,women,1964,60
COL,women,1965,60.4
COL,women,1966,60.9
COL,women,1967,61.3
COL,women,1968,61.8
COL,women,1969,62.2
COL,women,1970,62.7
COL,women,1971,63.1
COL,women,1972,63.5
COL,women,1973,63.9
COL,women,1974,64.3
COL,women,1975,64.6
COL,women,1976,65.2
COL,women,1977,65.7
COL,women,1978,66.2
COL,women,1979,66.7
COL,women,1980,67.2
COL,women,1981,67.7
COL,women,1982,68.2
COL,women,1983,68.6
COL,women,1984,69.1
COL,women,1985,69.6
COL,women,1986,69.9
COL,women,1987,70.2
COL,women,1988,70.5
COL,women,1989,70.9
COL,women,1990,71.2
COL,women,1991,71.5
COL,women,1992,71.7
COL,women,1993,72
COL,women,1994,72.5
COL,women,1995,72.9
COL,women,1996,73.4
COL,women,1997,73.8
COL,women,1998,74.2
COL,women,1999,74.6
COL,women,2000,75
COL,women,2001,75.4
COL,women,2002,75.7
COL,women,2003,76.1
COL,women,2004,76.5
COL,women,2005,76.8
COL,women,2006,77
COL,women,2007,77.3
COL,women,2008,77.5
COL,women,2009,77.7
COL,women,2010,77.9
COL,women,2011,78.1
COL,women,2012,78.3
COL,women,2013,78.5
COL,women,2014,78.7
COL,women,2015,78.9
COL,women,2016,79.1
COL,women,2017,79.3
COL,women,2018,79.8
COL,women,2019,79.9
COL,women,2020,80
LVA,men,2002,64.4
LVA,men,2003,65.3
LVA,men,2004,65.6
LVA,men,2005,64.9
LVA,men,2006,65
LVA,men,2007,65.3
LVA,men,2008,66.5
LVA,men,2009,67.5
LVA,men,2010,67.9
LVA,men,2011,68.6
LVA,men,2012,68.9
LVA,men,2013,69.3
LVA,men,2014,69.1
LVA,men,2015,69.7
LVA,men,2016,69.8
LVA,men,2017,69.8
LVA,men,2018,70.1
LVA,men,2019,70.9
LVA,men,2020,70.9
LVA,everyone,2002,70.1
LVA,everyone,2003,70.5
LVA,everyone,2004,70.8
LVA,everyone,2005,70.6
LVA,everyone,2006,70.6
LVA,everyone,2007,70.8
LVA,everyone,2008,72
LVA,everyone,2009,72.6
LVA,everyone,2010,73
LVA,everyone,2011,73.7
LVA,everyone,2012,73.9
LVA,everyone,2013,74.1
LVA,everyone,2014,74.3
LVA,everyone,2015,74.6
LVA,everyone,2016,74.7
LVA,everyone,2017,74.8
LVA,everyone,2018,74.9
LVA,everyone,2019,75.5
LVA,everyone,2020,75.5
LVA,women,2002,75.8
LVA,women,2003,75.7
LVA,women,2004,76
LVA,women,2005,76.3
LVA,women,2006,76.1
LVA,women,2007,76.2
LVA,women,2008,77.5
LVA,women,2009,77.7
LVA,women,2010,78
LVA,women,2011,78.8
LVA,women,2012,78.9
LVA,women,2013,78.9
LVA,women,2014,79.4
LVA,women,2015,79.5
LVA,women,2016,79.6
LVA,women,2017,79.7
LVA,women,2018,79.7
LVA,women,2019,80.1
LVA,women,2020,80.1
LTU,men,1970,66.8
LTU,men,1971,67.6
LTU,men,1972,66.9
LTU,men,1973,67.3
LTU,men,1974,67.1
LTU,men,1975,66.4
LTU,men,1976,66.3
LTU,men,1977,66.2
LTU,men,1978,66
LTU,men,1979,65.5
LTU,men,1980,65.4
LTU,men,1981,65.3
LTU,men,1982,65.7
LTU,men,1983,65.7
LTU,men,1984,65.1
LTU,men,1985,65.6
LTU,men,1986,67.8
LTU,men,1987,67.6
LTU,men,1988,67.4
LTU,men,1989,66.9
LTU,men,1990,66.4
LTU,men,1991,65.1
LTU,men,1992,64.8
LTU,men,1993,63.1
LTU,men,1994,62.5
LTU,men,1995,63.3
LTU,men,1996,64.6
LTU,men,1997,65.5
LTU,men,1998,66
LTU,men,1999,66.3
LTU,men,2000,66.7
LTU,men,2001,65.9
LTU,men,2002,66.1
LTU,men,2003,66.4
LTU,men,2004,66.2
LTU,men,2005,65.2
LTU,men,2006,65
LTU,men,2007,64.5
LTU,men,2008,65.9
LTU,men,2009,67.1
LTU,men,2010,67.6
LTU,men,2011,68.1
LTU,men,2012,68.4
LTU,men,2013,68.5
LTU,men,2014,69.2
LTU,men,2015,69.2
LTU,men,2016,69.5
LTU,men,2017,70.7
LTU,men,2018,70.9
LTU,men,2019,71.6
LTU,men,2020,70.1
LTU,everyone,1970,70.9
LTU,everyone,1971,71.9
LTU,everyone,1972,71.2
LTU,everyone,1973,71.5
LTU,everyone,1974,71.4
LTU,everyone,1975,71
LTU,everyone,1976,71
LTU,everyone,1977,70.9
LTU,everyone,1978,70.6
LTU,everyone,1979,70.5
LTU,everyone,1980,70.4
LTU,everyone,1981,70.4
LTU,everyone,1982,70.8
LTU,everyone,1983,70.7
LTU,everyone,1984,70.2
LTU,everyone,1985,70.5
LTU,everyone,1986,72.1
LTU,everyone,1987,72
LTU,everyone,1988,71.9
LTU,everyone,1989,71.6
LTU,everyone,1990,71.4
LTU,everyone,1991,70.6
LTU,everyone,1992,70.4
LTU,everyone,1993,69.1
LTU,everyone,1994,68.7
LTU,everyone,1995,69.2
LTU,everyone,1996,70.3
LTU,everyone,1997,71.1
LTU,everyone,1998,71.4
LTU,everyone,1999,71.7
LTU,everyone,2000,72.1
LTU,everyone,2001,71.7
LTU,everyone,2002,71.8
LTU,everyone,2003,72.1
LTU,everyone,2004,72
LTU,everyone,2005,71.3
LTU,everyone,2006,71.1
LTU,everyone,2007,70.9
LTU,everyone,2008,71.8
LTU,everyone,2009,72.9
LTU,everyone,2010,73.3
LTU,everyone,2011,73.7
LTU,everyone,2012,74
LTU,everyone,2013,74.1
LTU,everyone,2014,74.7
LTU,everyone,2015,74.5
LTU,everyone,2016,74.8
LTU,everyone,2017,75.6
LTU,everyone,2018,75.8
LTU,everyone,2019,76.4
LTU,everyone,2020,75.1
LTU,women,1970,75
LTU,women,1971,76.1
LTU,women,1972,75.4
LTU,women,1973,75.6
LTU,women,1974,75.7
LTU,women,1975,75.5
LTU,women,1976,75.7
LTU,women,1977,75.5
LTU,women,1978,75.2
LTU,women,1979,75.4
LTU,women,1980,75.4
LTU,women,1981,75.4
LTU,women,1982,75.8
LTU,women,1983,75.7
LTU,women,1984,75.3
LTU,women,1985,75.3
LTU,women,1986,76.4
LTU,women,1987,76.3
LTU,women,1988,76.3
LTU,women,1989,76.3
LTU,women,1990,76.3
LTU,women,1991,76
LTU,women,1992,76
LTU,women,1993,75
LTU,women,1994,74.9
LTU,women,1995,75.1
LTU,women,1996,75.9
LTU,women,1997,76.6
LTU,women,1998,76.7
LTU,women,1999,77
LTU,women,2000,77.4
LTU,women,2001,77.4
LTU,women,2002,77.4
LTU,women,2003,77.7
LTU,women,2004,77.7
LTU,women,2005,77.4
LTU,women,2006,77.1
LTU,women,2007,77.2
LTU,women,2008,77.6
LTU,women,2009,78.7
LTU,women,2010,78.9
LTU,women,2011,79.3
LTU,women,2012,79.6
LTU,women,2013,79.6
LTU,women,2014,80.1
LTU,women,2015,79.7
LTU,women,2016,80.1
LTU,women,2017,80.5
LTU,women,2018,80.7
LTU,women,2019,81.2
LTU,women,2020,80
CRI,men,1960,59.2
CRI,men,1961,59.9
CRI,men,1962,60.6
CRI,men,1963,61.3
CRI,men,1964,61.9
CRI,men,1965,62.4
CRI,men,1966,62.9
CRI,men,1967,63.4
CRI,men,1968,63.8
CRI,men,1969,64.2
CRI,men,1970,64.7
CRI,men,1971,65.1
CRI,men,1972,65.5
CRI,men,1973,66
CRI,men,1974,66.5
CRI,men,1975,67
CRI,men,1976,67.5
CRI,men,1977,68
CRI,men,1978,68.6
CRI,men,1979,69.1
CRI,men,1980,69.6
CRI,men,1981,70.2
CRI,men,1982,70.6
CRI,men,1983,71.1
CRI,men,1984,71.5
CRI,men,1985,71.8
CRI,men,1986,72.1
CRI,men,1987,72.4
CRI,men,1988,72.7
CRI,men,1989,72.9
CRI,men,1990,73.1
CRI,men,1991,73.3
CRI,men,1992,73.5
CRI,men,1993,73.7
CRI,men,1994,74
CRI,men,1995,74.2
CRI,men,1996,74.4
CRI,men,1997,74.6
CRI,men,1998,74.8
CRI,men,1999,75
CRI,men,2000,75.1
CRI,men,2001,75.3
CRI,men,2002,75.4
CRI,men,2003,75.6
CRI,men,2004,75.7
CRI,men,2005,75.8
CRI,men,2006,75.9
CRI,men,2007,76
CRI,men,2008,76.1
CRI,men,2009,76.2
CRI,men,2010,76.3
CRI,men,2011,76.6
CRI,men,2012,76.9
CRI,men,2013,77.1
CRI,men,2014,77.2
CRI,men,2015,77.4
CRI,men,2016,77.5
CRI,men,2017,77.6
CRI,men,2018,77.8
CRI,men,2019,77.9
CRI,men,2020,78.1
CRI,everyone,1960,60.6
CRI,everyone,1961,61.3
CRI,everyone,1962,62
CRI,everyone,1963,62.7
CRI,everyone,1964,63.3
CRI,everyone,1965,63.9
CRI,everyone,1966,64.5
CRI,everyone,1967,65
CRI,everyone,1968,65.5
CRI,everyone,1969,66
CRI,everyone,1970,66.5
CRI,everyone,1971,67
CRI,everyone,1972,67.5
CRI,everyone,1973,68.1
CRI,everyone,1974,68.6
CRI,everyone,1975,69.2
CRI,everyone,1976,69.8
CRI,everyone,1977,70.4
CRI,everyone,1978,71
CRI,everyone,1979,71.6
CRI,everyone,1980,72.2
CRI,everyone,1981,72.8
CRI,everyone,1982,73.3
CRI,everyone,1983,73.8
CRI,everyone,1984,74.2
CRI,everyone,1985,74.5
CRI,everyone,1986,74.8
CRI,everyone,1987,75.1
CRI,everyone,1988,75.3
CRI,everyone,1989,75.5
CRI,everyone,1990,75.7
CRI,everyone,1991,75.9
CRI,everyone,1992,76.1
CRI,everyone,1993,76.3
CRI,everyone,1994,76.4
CRI,everyone,1995,76.6
CRI,everyone,1996,76.8
CRI,everyone,1997,77
CRI,everyone,1998,77.2
CRI,everyone,1999,77.3
CRI,everyone,2000,77.5
CRI,everyone,2001,77.6
CRI,everyone,2002,77.8
CRI,everyone,2003,77.9
CRI,everyone,2004,78
CRI,everyone,2005,78.1
CRI,everyone,2006,78.3
CRI,everyone,2007,78.4
CRI,everyone,2008,78.5
CRI,everyone,2009,78.7
CRI,everyone,2010,78.8
CRI,everyone,2011,79.1
CRI,everyone,2012,79.4
CRI,everyone,2013,79.6
CRI,everyone,2014,79.8
CRI,everyone,2015,79.9
CRI,everyone,2016,80.1
CRI,everyone,2017,80.2
CRI,everyone,2018,80.4
CRI,everyone,2019,80.5
CRI,everyone,2020,80.7
CRI,women,1960,62
CRI,women,1961,62.7
CRI,women,1962,63.4
CRI,women,1963,64.1
CRI,women,1964,64.8
CRI,women,1965,65.4
CRI,women,1966,66
CRI,women,1967,66.6
CRI,women,1968,67.2
CRI,women,1969,67.8
CRI,women,1970,68.3
CRI,women,1971,68.9
CRI,women,1972,69.5
CRI,women,1973,70.1
CRI,women,1974,70.8
CRI,women,1975,71.4
CRI,women,1976,72
CRI,women,1977,72.7
CRI,women,1978,73.4
CRI,women,1979,74.1
CRI,women,1980,74.7
CRI,women,1981,75.4
CRI,women,1982,75.9
CRI,women,1983,76.4
CRI,women,1984,76.9
CRI,women,1985,77.2
CRI,women,1986,77.5
CRI,women,1987,77.8
CRI,women,1988,78
CRI,women,1989,78.2
CRI,women,1990,78.3
CRI,women,1991,78.5
CRI,women,1992,78.6
CRI,women,1993,78.8
CRI,women,1994,78.9
CRI,women,1995,79.1
CRI,women,1996,79.2
CRI,women,1997,79.4
CRI,women,1998,79.5
CRI,women,1999,79.7
CRI,women,2000,79.8
CRI,women,2001,80
CRI,women,2002,80.1
CRI,women,2003,80.2
CRI,women,2004,80.4
CRI,women,2005,80.5
CRI,women,2006,80.6
CRI,women,2007,80.8
CRI,women,2008,80.9
CRI,women,2009,81.1
CRI,women,2010,81.3
CRI,women,2011,81.6
CRI,women,2012,81.9
CRI,women,2013,82.1
CRI,women,2014,82.3
CRI,women,2015,82.4
CRI,women,2016,82.6
CRI,women,2017,82.7
CRI,women,2018,82.9
CRI,women,2019,83
CRI,women,2020,83.2
